noc,id_result,edition_country
ITA,318286,37
PRK,318287,37
TCH,318288,37
NOR,318289,38
URS,318290,38
FRA,318291,38
ITA,318292,38
AUT,318293,38
NED,318294,38
SWE,318295,38
FRG,318296,38
USA,318297,38
GDR,318298,38
FIN,318299,38
TCH,318300,38
CAN,318301,38
SUI,318302,38
ROU,318303,38
URS,318304,39
GDR,318305,39
SUI,318306,39
NED,318307,39
USA,318308,39
FRG,318309,39
NOR,318310,39
ITA,318311,39
AUT,318312,39
SWE,318313,39
JPN,318314,39
TCH,318315,39
POL,318316,39
ESP,318317,39
FIN,318318,39
FRA,318319,39
CAN,318320,39
URS,318321,40
GDR,318322,40
USA,318323,40
NOR,318324,40
FRG,318325,40
FIN,318326,40
AUT,318327,40
SUI,318328,40
NED,318329,40
ITA,318330,40
CAN,318331,40
GBR,318332,40
TCH,318333,40
LIE,318334,40
SWE,318335,40
FRA,318336,40
URS,318337,41
GDR,318338,41
USA,318339,41
AUT,318340,41
SWE,318341,41
LIE,318342,41
FIN,318343,41
NOR,318344,41
NED,318345,41
SUI,318346,41
GBR,318347,41
FRG,318348,41
ITA,318349,41
CAN,318350,41
HUN,318351,41
JPN,318352,41
BUL,318353,41
TCH,318354,41
FRA,318355,41
GDR,318356,42
URS,318357,42
USA,318358,42
FIN,318359,42
SWE,318360,42
NOR,318361,42
SUI,318362,42
CAN,318363,42
FRG,318364,42
ITA,318365,42
GBR,318366,42
TCH,318367,42
FRA,318368,42
JPN,318369,42
YUG,318370,42
LIE,318371,42
AUT,318372,42
URS,318373,43
GDR,318374,43
SUI,318375,43
FIN,318376,43
SWE,318377,43
AUT,318378,43
NED,318379,43
FRG,318380,43
USA,318381,43
ITA,318382,43
FRA,318383,43
NOR,318384,43
CAN,318385,43
YUG,318386,43
TCH,318387,43
JPN,318388,43
LIE,318389,43
GER,318390,44
EUN,318391,44
NOR,318392,44
AUT,318393,44
USA,318394,44
ITA,318395,44
FRA,318396,44
FIN,318397,44
CAN,318398,44
KOR,318399,44
JPN,318400,44
NED,318401,44
SWE,318402,44
SUI,318403,44
CHN,318404,44
LUX,318405,44
NZL,318406,44
TCH,318407,44
PRK,318408,44
